product_name,prix_remise,prix_reel,remise_pct,note_moy,nb_avis,score_pop,main_category
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",219.0,700.0,69.0,4.4,853945.0,57.04,Electronics
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",309.0,475.0,35.0,4.4,426973.0,57.04,Electronics
"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",309.0,1400.0,78.0,4.4,426973.0,57.04,Electronics
SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,939.0,1800.0,48.0,4.5,205052.0,55.04,Electronics
SanDisk Cruzer Blade 32GB USB Flash Drive,289.0,650.0,56.0,4.3,253105.0,53.5,Computers&Accessories
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),349.0,999.0,65.0,4.1,363713.0,52.5,Electronics
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),379.0,999.0,62.0,4.1,363713.0,52.5,Electronics
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),365.0,999.0,63.0,4.1,363711.0,52.5,Electronics
"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",1439.0,1999.0,28.0,4.8,53803.0,52.29,Home&Kitchen
SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black),579.0,1400.0,59.0,4.3,189104.0,52.25,Computers&Accessories
